,date,south,west,north,south campus,south density,west density,north density,south compus density
0,2024-10-11 20:39:52.092305,0.28,0.18,0.09,0.05,15.902608695652173,7.479611650485436,12.447457627118645,27.94838709677419
0,2024-10-11 20:49:54.034542,0.28,0.18,0.09,0.05,16.777981651376148,7.781818181818182,13.114285714285714,28.720441988950277
0,2024-10-11 20:59:55.706852,0.28,0.17,0.09,0.05,16.625454545454545,7.627722772277227,12.039344262295083,29.53636363636364
0,2024-10-11 21:09:57.292524,0.28,0.17,0.09,0.05,18.85360824742268,9.51111111111111,14.399999999999999,28.562637362637364
0,2024-10-11 22:09:59.049600,0.28,0.16,0.07,0.0,15.630769230769232,6.817699115044248,14.987755102040817,29.53636363636364
0,2024-10-11 23:10:00.976416,0.27,0.15,0.06,0.0,12.78881118881119,6.817699115044248,11.657142857142855,31.697560975609758
0,2024-10-12 00:10:03.043234,0.26,0.15,0.05,0.0,17.584615384615383,7.479611650485436,12.239999999999998,33.538064516129026
0,2024-10-12 01:10:05.360871,0.26,0.14,0.05,0.0,19.664516129032258,10.136842105263158,16.69090909090909,29.369491525423726
0,2024-10-12 02:10:07.504111,0.31,0.12,0.05,0.0,23.446153846153845,6.473949579831933,15.965217391304344,32.69433962264151
0,2024-10-12 03:10:09.317860,0.31,0.12,0.05,0.0,23.149367088607598,8.024999999999999,13.352727272727273,31.505454545454544
0,2024-10-12 04:10:11.222363,0.31,0.12,0.05,0.0,22.86,7.199999999999999,18.36,31.505454545454544
0,2024-10-12 05:10:13.142367,0.31,0.12,0.05,0.0,23.75064935064935,9.063529411764705,14.399999999999999,32.49
0,2024-10-12 06:10:14.903882,0.31,0.12,0.05,0.0,22.86,9.063529411764705,14.12307692307692,30.57882352941176
0,2024-10-12 06:20:16.581419,0.31,0.12,0.05,0.0,22.033734939759036,9.063529411764705,13.856603773584904,30.399999999999995
0,2024-10-12 06:30:18.202726,0.31,0.12,0.05,0.0,22.033734939759036,8.754545454545454,13.856603773584904,29.705142857142857
0,2024-10-12 06:40:19.958252,0.31,0.12,0.05,0.0,22.033734939759036,8.656179775280897,13.856603773584904,29.0413407821229
0,2024-10-12 06:50:21.682627,0.31,0.12,0.05,0.0,24.713513513513515,9.063529411764705,13.6,28.099459459459457
0,2024-10-12 07:00:23.217089,0.31,0.12,0.05,0.0,24.713513513513515,12.228571428571428,13.6,28.562637362637364
0,2024-10-12 07:10:24.866019,0.31,0.12,0.05,0.0,24.713513513513515,12.425806451612901,13.6,27.651063829787233
0,2024-10-12 07:20:26.432786,0.31,0.12,0.05,0.0,22.033734939759036,10.272,14.399999999999999,29.0413407821229
0,2024-10-12 07:30:28.338927,0.31,0.12,0.05,0.0,20.78181818181818,10.272,14.399999999999999,28.88
0,2024-10-12 07:40:29.954591,0.31,0.12,0.05,0.01,20.78181818181818,9.876923076923077,14.687999999999997,28.720441988950277
0,2024-10-12 07:50:31.642901,0.31,0.12,0.05,0.01,21.02068965517241,8.656179775280897,13.352727272727273,29.20449438202247
